,expt,cond,rep,time (h),position (μm),redPixelRange,greenPixelRange,greenX0,redX0,GFP shift (μm),RFP shift (μm),[Ampicillin] (mg/mL),[Kanamycin] (mg/mL)
33,J4K5succ250_ampGrad,0x,1,4,200,130-154,122-145,287.2118309279716,245.8322810447469,13.985691149753222,11.65629411947424,0.0,
34,J4K5succ250_ampGrad,0x,1,4,250,146-169,137-161,289.390797302803,245.71244847291203,15.835531411710178,6.9503674654658605,0.0,
35,J4K5succ250_ampGrad,0x,1,4,300,161-184,153-176,286.01246161118644,250.99417153052812,12.403495615820761,4.580010914075217,0.0,
36,J4K5succ250_ampGrad,0x,1,4,350,176-199,168-191,286.37065422312986,264.6060992594236,14.468771384537945,11.503784266679844,0.0,
37,J4K5succ250_ampGrad,0x,1,4,400,191-214,183-206,287.29845846249896,269.0837602086854,18.33289393159464,6.588472197852696,0.0,
38,J4K5succ250_ampGrad,0x,1,4,450,206-229,198-221,287.14496246785137,271.84145776963703,19.05298460710065,11.277644628141218,0.0,
39,J4K5succ250_ampGrad,0x,1,6,-150,25-48,17-40,285.6683504022648,224.9539505521435,13.268395450782636,21.011462438261248,0.0,
40,J4K5succ250_ampGrad,0x,1,6,-100,40-63,32-55,291.41373193672746,247.677291787963,16.541947408675238,14.391919408711715,0.0,
41,J4K5succ250_ampGrad,0x,1,6,-50,55-78,47-70,282.07174516994576,246.42555719907008,9.903109797541275,12.752245291719445,0.0,
42,J4K5succ250_ampGrad,0x,1,6,0,70-93,62-85,284.3475204970622,276.68284598964067,12.49155200307257,20.261713194672094,0.0,
43,J4K5succ250_ampGrad,0x,1,6,50,85-108,77-100,287.7084108242506,264.6246285601364,13.77871588705733,18.07902585598481,0.0,
44,J4K5succ250_ampGrad,0x,1,6,100,100-123,92-115,293.3279943649823,254.2466428728796,20.930169102169828,10.454403495193958,0.0,
45,J4K5succ250_ampGrad,0x,1,6,150,115-138,107-130,292.44774547324727,264.03610334516395,26.63723914622915,16.83576042180843,0.0,
46,J4K5succ250_ampGrad,0x,1,6,200,130-154,122-145,300.8005331552903,254.32611288713025,27.574393377071885,20.150125961857555,0.0,
47,J4K5succ250_ampGrad,0x,1,6,250,146-169,137-161,300.31574947567015,255.04196447317852,26.76048358457729,16.279883465732382,0.0,
48,J4K5succ250_ampGrad,0x,1,6,300,161-184,153-176,297.0457648312749,264.9470341235853,23.4367988359092,18.53287350713242,0.0,
49,J4K5succ250_ampGrad,0x,1,6,350,176-199,168-191,298.901956937222,272.4591444358736,27.000074098630023,19.356829443129893,0.0,
50,J4K5succ250_ampGrad,0x,1,6,400,191-214,183-206,299.62248864360316,274.6303150232609,30.656924112698906,12.135027012428166,0.0,
51,J4K5succ250_ampGrad,0x,1,6,450,206-229,198-221,298.3882063677848,279.99704523817917,30.296228507034016,19.43323209668341,0.0,
52,J4K5succ250_ampGrad,0x,1,8,-150,25-48,17-40,291.6762675941082,230.01736232876843,19.27631264262601,26.074874214886165,0.0,
53,J4K5succ250_ampGrad,0x,1,8,-100,40-63,32-55,295.17436177703564,255.8015854759742,20.302577248983372,22.516213096722932,0.0,
54,J4K5succ250_ampGrad,0x,1,8,-50,55-78,47-70,284.0804402723637,253.00586847913877,11.911804899959181,19.33255657178813,0.0,
55,J4K5succ250_ampGrad,0x,1,8,0,70-93,62-85,290.40116196110057,287.94317553239637,18.54519346711095,31.52204273742785,0.0,
56,J4K5succ250_ampGrad,0x,1,8,50,85-108,77-100,295.8575131667184,282.0715238531846,21.927818229525084,35.52592114903314,0.0,
57,J4K5succ250_ampGrad,0x,1,8,100,100-123,92-115,302.12860032213706,268.5375714750338,29.73077505932457,24.745332097348186,0.0,
58,J4K5succ250_ampGrad,0x,1,8,150,115-138,107-130,304.6645632542044,277.96924030243724,38.85405692718626,30.768897379081718,0.0,
59,J4K5succ250_ampGrad,0x,1,8,200,130-154,122-145,312.21350849470514,263.406660467038,38.987368716486685,29.23067354176536,0.0,
60,J4K5succ250_ampGrad,0x,1,8,250,146-169,137-161,312.9376859661292,265.8903993163508,39.38242007503635,27.128318308904625,0.0,
61,J4K5succ250_ampGrad,0x,1,8,300,161-184,153-176,306.5145298774972,277.4524905864075,32.9055638821315,31.038329969954592,0.0,
62,J4K5succ250_ampGrad,0x,1,8,350,176-199,168-191,310.2030477033678,288.01855541116043,38.30116486477584,34.91624041841672,0.0,
63,J4K5succ250_ampGrad,0x,1,8,400,191-214,183-206,311.58712116034013,289.8413067432068,42.62155662943581,27.34601873237409,0.0,
64,J4K5succ250_ampGrad,0x,1,8,450,206-229,198-221,312.35842187628094,291.7309647944025,44.266444015530226,31.16715165290674,0.0,
65,J4K5succ250_ampGrad,0x,1,10,-150,25-48,17-40,289.95391992025384,236.2504975034848,17.553964968771652,32.30800938960252,0.0,
66,J4K5succ250_ampGrad,0x,1,10,-100,40-63,32-55,293.11278362999604,260.3718467722423,18.24099910194377,27.086474392991022,0.0,
67,J4K5succ250_ampGrad,0x,1,10,-50,55-78,47-70,282.0496173238678,261.36867432566527,9.880981951463356,27.695362418314662,0.0,
68,J4K5succ250_ampGrad,0x,1,10,0,70-93,62-85,289.2719713636381,294.1411581511412,17.41600286964848,37.72002535617258,0.0,
69,J4K5succ250_ampGrad,0x,1,10,50,85-108,77-100,296.13610935321964,295.88009859239446,22.206414416026288,49.33449588824294,0.0,
70,J4K5succ250_ampGrad,0x,1,10,100,100-123,92-115,304.1324211229137,285.38814203017523,31.734595860101194,41.5959026524896,0.0,
71,J4K5succ250_ampGrad,0x,1,10,150,115-138,107-130,310.24182454760336,292.1486323520872,44.43131822058524,44.94828942873167,0.0,
72,J4K5succ250_ampGrad,0x,1,10,200,130-154,122-145,317.8799000497284,272.44101575683135,44.65376027150995,38.265028831558624,0.0,
73,J4K5succ250_ampGrad,0x,1,10,250,146-169,137-161,318.02802322960343,278.7978839609044,44.47275733851064,40.035802953458244,0.0,
74,J4K5succ250_ampGrad,0x,1,10,300,161-184,153-176,309.1731008848951,289.76697983530966,35.56413488952944,43.352819218856716,0.0,
75,J4K5succ250_ampGrad,0x,1,10,350,176-199,168-191,313.2249058119985,303.40492225661444,41.32302297340652,50.302607263870726,0.0,
76,J4K5succ250_ampGrad,0x,1,10,400,191-214,183-206,313.3902753875404,302.5616140192227,44.42471085663607,40.06632600838998,0.0,
77,J4K5succ250_ampGrad,0x,1,10,450,206-229,198-221,316.6707908348338,302.9135538922095,48.578812974083064,42.349740750713686,0.0,
78,J4K5succ250_ampGrad,0x,2,0,-150,45-68,30-53,361.44240287034006,290.0923117599646,0.0,0.0,0.0,
79,J4K5succ250_ampGrad,0x,2,0,-100,60-83,45-68,329.6838535379101,290.7548408951148,0.0,0.0,0.0,
80,J4K5succ250_ampGrad,0x,2,0,-50,75-98,60-83,314.62713805702634,292.4609051418862,0.0,0.0,0.0,
81,J4K5succ250_ampGrad,0x,2,0,0,90-113,75-98,318.7920507139893,292.64181263516986,0.0,0.0,0.0,
82,J4K5succ250_ampGrad,0x,2,0,50,105-128,90-113,322.1852210524353,290.2884575711028,0.0,0.0,0.0,
83,J4K5succ250_ampGrad,0x,2,0,100,120-143,105-128,330.07297343946163,287.23430004624333,0.0,0.0,0.0,
84,J4K5succ250_ampGrad,0x,2,0,150,135-158,120-143,328.20213640183664,283.3702709696475,0.0,0.0,0.0,
85,J4K5succ250_ampGrad,0x,2,0,200,150-173,135-158,332.3165828647746,288.38218502695173,0.0,0.0,0.0,
86,J4K5succ250_ampGrad,0x,2,0,250,165-188,150-173,335.3294991859094,282.191366050159,0.0,0.0,0.0,
87,J4K5succ250_ampGrad,0x,2,0,300,180-203,165-188,326.4077263545208,289.22220947565944,0.0,0.0,0.0,
88,J4K5succ250_ampGrad,0x,2,0,350,195-218,180-203,332.9129764950516,287.880765085309,0.0,0.0,0.0,
89,J4K5succ250_ampGrad,0x,2,0,400,210-233,195-218,353.83892010001716,270.918639850638,0.0,0.0,0.0,
90,J4K5succ250_ampGrad,0x,2,0,450,225-248,210-233,348.490281948915,272.223720249598,0.0,0.0,0.0,
91,J4K5succ250_ampGrad,0x,2,2,-150,45-68,30-53,365.9803541742463,291.62615178524516,4.537951303906255,1.5338400252804831,0.0,
92,J4K5succ250_ampGrad,0x,2,2,-100,60-83,45-68,336.2479524532281,292.8087696169182,6.5640989153179135,2.053928721803402,0.0,
93,J4K5succ250_ampGrad,0x,2,2,-50,75-98,60-83,315.13952627416256,294.11921871232965,0.5123882171361629,1.6583135704435108,0.0,
94,J4K5succ250_ampGrad,0x,2,2,0,90-113,75-98,319.1925545327241,297.3498065500721,0.4005038187348191,4.7079939149023184,0.0,
95,J4K5succ250_ampGrad,0x,2,2,50,105-128,90-113,324.41178732571143,296.07902184875616,2.2265662732761484,5.7905642776533455,0.0,
96,J4K5succ250_ampGrad,0x,2,2,100,120-143,105-128,334.49560829260133,292.9368265971126,4.422634853139755,5.7025265508693215,0.0,
97,J4K5succ250_ampGrad,0x,2,2,150,135-158,120-143,334.00304621221187,289.98993936078745,5.800909810375288,6.619668391139952,0.0,
98,J4K5succ250_ampGrad,0x,2,2,200,150-173,135-158,336.59929527295066,291.77562505091487,4.282712408176053,3.3934400239631373,0.0,
99,J4K5succ250_ampGrad,0x,2,2,250,165-188,150-173,339.85560206179315,283.3774357198784,4.526102875883794,1.1860696697193591,0.0,
100,J4K5succ250_ampGrad,0x,2,2,300,180-203,165-188,334.12951112905506,292.09806258806924,7.721784774534285,2.8758531124098,0.0,
101,J4K5succ250_ampGrad,0x,2,2,350,195-218,180-203,339.74370184309663,288.9120631588196,6.8307253480449495,1.0312980735105841,0.0,
102,J4K5succ250_ampGrad,0x,2,2,400,210-233,195-218,361.7902591318669,278.63012079612906,7.95133903184967,7.711480945491132,0.0,
103,J4K5succ250_ampGrad,0x,2,2,450,225-248,210-233,354.8506668384101,281.4645578667853,6.360384889495093,9.24083761718731,0.0,
104,J4K5succ250_ampGrad,0x,2,4,-150,45-68,30-53,370.9784165569188,295.0887889510593,9.536013686578713,4.996477191094698,0.0,
105,J4K5succ250_ampGrad,0x,2,4,-100,60-83,45-68,346.87153680353987,300.37560674840125,17.187683265629744,9.620765853286457,0.0,
106,J4K5succ250_ampGrad,0x,2,4,-50,75-98,60-83,320.05967483023466,302.08141402482664,5.432536773208311,9.620508882940383,0.0,
107,J4K5succ250_ampGrad,0x,2,4,0,90-113,75-98,325.3819315183415,307.93347346885065,6.58988080435222,15.29166083368091,0.0,
108,J4K5succ250_ampGrad,0x,2,4,50,105-128,90-113,332.5111818928814,304.01217130105437,10.325960840446099,13.723713729951612,0.0,
109,J4K5succ250_ampGrad,0x,2,4,100,120-143,105-128,345.9938883375399,301.6927816601883,15.920914898078305,14.458481613944967,0.0,
110,J4K5succ250_ampGrad,0x,2,4,150,135-158,120-143,344.84753846773947,300.050048972244,16.645402065902886,16.679778002596493,0.0,
111,J4K5succ250_ampGrad,0x,2,4,200,150-173,135-158,347.4239377826476,295.71073899291974,15.10735491787301,7.328553965968013,0.0,
112,J4K5succ250_ampGrad,0x,2,4,250,165-188,150-173,350.7386278660435,287.64727284099683,15.409128680134074,5.4559067908379015,0.0,
113,J4K5succ250_ampGrad,0x,2,4,300,180-203,165-188,348.52470541162154,299.50299241050067,22.116979057100764,10.280782934841284,0.0,
114,J4K5succ250_ampGrad,0x,2,4,350,195-218,180-203,352.2666653782348,291.4874979277624,19.353688883183167,3.606732842453368,0.0,
115,J4K5succ250_ampGrad,0x,2,4,400,210-233,195-218,375.5653850936094,289.9931607964124,21.72646499359217,19.07452094577445,0.0,
116,J4K5succ250_ampGrad,0x,2,4,450,225-248,210-233,370.25222415151694,288.49618065121683,21.761942202601915,16.272460401618847,0.0,
117,J4K5succ250_ampGrad,0x,2,6,-150,45-68,30-53,377.5347826180169,297.0388118702572,16.09237974767683,6.946500110292561,0.0,
118,J4K5succ250_ampGrad,0x,2,6,-100,60-83,45-68,349.0193674101909,305.1579497744107,19.335513872280785,14.403108879295873,0.0,
119,J4K5succ250_ampGrad,0x,2,6,-50,75-98,60-83,323.6443308373455,307.0097394588531,9.017192780319078,14.548834316966918,0.0,
120,J4K5succ250_ampGrad,0x,2,6,0,90-113,75-98,333.59153301735296,320.8915966945568,14.799482303363677,28.24978405938697,0.0,
121,J4K5succ250_ampGrad,0x,2,6,50,105-128,90-113,343.8302838195285,317.4557694970626,21.64506276709324,27.167311925959783,0.0,
122,J4K5succ250_ampGrad,0x,2,6,100,120-143,105-128,357.12368324959914,308.14295862571106,27.05070981013756,20.908658579467726,0.0,
123,J4K5succ250_ampGrad,0x,2,6,150,135-158,120-143,358.91512832216654,302.7534565946619,30.712991920329838,19.38318562501439,0.0,
124,J4K5succ250_ampGrad,0x,2,6,200,150-173,135-158,360.7861883406996,302.85568040637884,28.469605475924997,14.473495379427051,0.0,
125,J4K5succ250_ampGrad,0x,2,6,250,165-188,150-173,363.96786643397775,294.30130974422923,28.63836724806839,12.109943694070239,0.0,
126,J4K5succ250_ampGrad,0x,2,6,300,180-203,165-188,362.40265044212885,301.9250932918092,35.994924087608005,12.702883816149724,0.0,
127,J4K5succ250_ampGrad,0x,2,6,350,195-218,180-203,363.2994402985369,293.8968357445103,30.386463803485302,6.0160706592013184,0.0,
128,J4K5succ250_ampGrad,0x,2,6,400,210-233,195-218,387.4535788519838,297.52733721206175,33.6146587519666,26.608697361423825,0.0,
129,J4K5succ250_ampGrad,0x,2,6,450,225-248,210-233,384.60910475422617,298.32405942627366,36.11882280531114,26.10033917667568,0.0,
130,J4K5succ250_ampGrad,0x,2,8,-150,45-68,30-53,381.15337646601967,301.3409483369413,19.710973595679604,11.248636576976708,0.0,
131,J4K5succ250_ampGrad,0x,2,8,-100,60-83,45-68,348.79722578642236,311.86812097160407,19.113372248512174,21.113280076489275,0.0,
132,J4K5succ250_ampGrad,0x,2,8,-50,75-98,60-83,327.86845454673056,313.67207584481105,13.241316489704161,21.211170702924846,0.0,
133,J4K5succ250_ampGrad,0x,2,8,0,90-113,75-98,339.29124438590844,334.27098969813784,20.49919367191916,41.629177062967976,0.0,
134,J4K5succ250_ampGrad,0x,2,8,50,105-128,90-113,350.6129868379821,330.85990933639334,28.4277657855468,40.5714517652906,0.0,
135,J4K5succ250_ampGrad,0x,2,8,100,120-143,105-128,362.5664216721633,322.3916337260489,32.493448232701674,35.15733367980556,0.0,
136,J4K5succ250_ampGrad,0x,2,8,150,135-158,120-143,365.0818768798322,308.6509871093463,36.87974047799554,25.280716139698825,0.0,
137,J4K5succ250_ampGrad,0x,2,8,200,150-173,135-158,369.37354363126235,310.68741620243105,37.05696076648775,22.30523117547932,0.0,
138,J4K5succ250_ampGrad,0x,2,8,250,165-188,150-173,376.2426630475209,302.15815821593435,40.91316386161151,19.966792165775413,0.0,
139,J4K5succ250_ampGrad,0x,2,8,300,180-203,165-188,374.2162932137389,307.80372970601053,47.808566859218104,18.58152023035109,0.0,
140,J4K5succ250_ampGrad,0x,2,8,350,195-218,180-203,373.73098515181573,296.2506235250155,40.81800865676404,8.36985843970649,0.0,
141,J4K5succ250_ampGrad,0x,2,8,400,210-233,195-218,394.7812764874284,313.5139919230935,40.942356387411174,42.59535207245557,0.0,
142,J4K5succ250_ampGrad,0x,2,8,450,225-248,210-233,395.9749840647957,311.4656677904308,47.484702115880616,39.24194754083283,0.0,
143,J4K5succ250_ampGrad,0x,2,10,-150,45-68,30-53,384.705646321554,304.53185841343463,23.263243451213953,14.43954665346996,0.0,
144,J4K5succ250_ampGrad,0x,2,10,-100,60-83,45-68,350.13673836019547,315.3543562875705,20.452884822285398,24.599515392455714,0.0,
145,J4K5succ250_ampGrad,0x,2,10,-50,75-98,60-83,322.4514277039206,315.70075161704125,7.824289646894215,23.239846475155055,0.0,
146,J4K5succ250_ampGrad,0x,2,10,0,90-113,75-98,338.04110176097026,341.09784251509444,19.24905104698098,48.45602987992464,0.0,
147,J4K5succ250_ampGrad,0x,2,10,50,105-128,90-113,350.6312232962188,339.5537976403725,28.44600224378354,49.26534006926971,0.0,
148,J4K5succ250_ampGrad,0x,2,10,100,120-143,105-128,365.0160689187082,327.73955302243235,34.94309547924655,40.505252976189006,0.0,
149,J4K5succ250_ampGrad,0x,2,10,150,135-158,120-143,374.0879723343105,308.4429683656054,45.885835932473924,25.07269739595791,0.0,
150,J4K5succ250_ampGrad,0x,2,10,200,150-173,135-158,369.78436116933136,315.9753014232531,37.467778304556816,27.593116396301298,0.0,
151,J4K5succ250_ampGrad,0x,2,10,250,165-188,150-173,374.6128564044285,302.1238076170575,39.283357218519136,19.93244156689849,0.0,
152,J4K5succ250_ampGrad,0x,2,10,300,180-203,165-188,373.9573961198598,307.91838247401137,47.54966976533905,18.696172998351926,0.0,
153,J4K5succ250_ampGrad,0x,2,10,350,195-218,180-203,374.15026449580813,297.83264189696035,41.23728800075646,9.951876811651346,0.0,
154,J4K5succ250_ampGrad,0x,2,10,400,210-233,195-218,397.27348909309416,313.4963388473492,43.43456899307694,42.57769899671121,0.0,
155,J4K5succ250_ampGrad,0x,2,10,450,225-248,210-233,404.42184094537873,321.46321833201137,55.93155899646365,49.239498082413434,0.0,
156,J4K5succ250_ampGrad,0x,3,0,-150,34-57,47-70,309.56816132027393,341.12505431684264,0.0,0.0,0.0,
157,J4K5succ250_ampGrad,0x,3,0,-100,49-72,62-85,311.10439724819673,348.42045928056467,0.0,0.0,0.0,
158,J4K5succ250_ampGrad,0x,3,0,-50,64-87,77-100,312.56108868080446,341.09346190026235,0.0,0.0,0.0,
159,J4K5succ250_ampGrad,0x,3,0,0,79-102,92-115,302.1319286851675,337.25431930689825,0.0,0.0,0.0,
160,J4K5succ250_ampGrad,0x,3,0,50,94-117,107-130,302.5146503768367,336.56740416484087,0.0,0.0,0.0,
161,J4K5succ250_ampGrad,0x,3,0,100,109-132,122-145,299.0508737497735,345.8303874086818,0.0,0.0,0.0,
162,J4K5succ250_ampGrad,0x,3,0,150,124-147,137-160,298.90669954731965,344.8461471280551,0.0,0.0,0.0,
163,J4K5succ250_ampGrad,0x,3,0,200,139-162,152-175,301.5496112385132,347.6885302794304,0.0,0.0,0.0,
164,J4K5succ250_ampGrad,0x,3,0,250,154-177,167-190,298.044718479039,353.4081223995789,0.0,0.0,0.0,
165,J4K5succ250_ampGrad,0x,3,0,300,169-193,182-205,296.96514406971784,346.91834505212785,0.0,0.0,0.0,
166,J4K5succ250_ampGrad,0x,3,0,350,185-208,197-220,297.5093286063885,336.525262067935,0.0,0.0,0.0,
167,J4K5succ250_ampGrad,0x,3,0,400,200-223,212-236,288.95858807035387,345.50651680770335,0.0,0.0,0.0,
168,J4K5succ250_ampGrad,0x,3,0,450,215-238,227-251,291.06406172925966,333.65911096871133,0.0,0.0,0.0,
169,J4K5succ250_ampGrad,0x,3,2,-150,34-57,47-70,313.8575391815653,341.3821287455553,4.289377861291371,0.2570744287127127,0.0,
170,J4K5succ250_ampGrad,0x,3,2,-100,49-72,62-85,311.9663768647955,351.16669454733034,0.8619796165987736,2.7462352667656087,0.0,
171,J4K5succ250_ampGrad,0x,3,2,-50,64-87,77-100,314.93544123502465,344.25050369586734,2.3743525542201946,3.1570417956048686,0.0,
172,J4K5succ250_ampGrad,0x,3,2,0,79-102,92-115,303.5316847011156,342.00735427488314,1.3997560159480713,4.753034967984831,0.0,
173,J4K5succ250_ampGrad,0x,3,2,50,94-117,107-130,303.73015765787625,341.65619360436693,1.2155072810395495,5.0887894395260105,0.0,
174,J4K5succ250_ampGrad,0x,3,2,100,109-132,122-145,300.8879962629885,350.39563081705114,1.837122513215036,4.565243408369327,0.0,
175,J4K5succ250_ampGrad,0x,3,2,150,124-147,137-160,301.0367955208184,348.2630582866201,2.1300959734987828,3.416911158564972,0.0,
176,J4K5succ250_ampGrad,0x,3,2,200,139-162,152-175,303.62059420975595,351.92622134065994,2.070982971242813,4.237691061229555,0.0,
177,J4K5succ250_ampGrad,0x,3,2,250,154-177,167-190,301.0700759278965,355.67252386740813,3.025357448857505,2.264401467829259,0.0,
178,J4K5succ250_ampGrad,0x,3,2,300,169-193,182-205,302.1800232589277,351.35315215019995,5.21487918920991,4.434807098072156,0.0,
179,J4K5succ250_ampGrad,0x,3,2,350,185-208,197-220,305.4064064168329,340.98188732168273,7.8970778104444435,4.456625253747745,0.0,
180,J4K5succ250_ampGrad,0x,3,2,400,200-223,212-236,298.97626672764113,348.18813563307157,10.017678657287206,2.681618825368332,0.0,
181,J4K5succ250_ampGrad,0x,3,2,450,215-238,227-251,293.12338170175,340.42948744929345,2.059319972490357,6.770376480582116,0.0,
182,J4K5succ250_ampGrad,0x,3,4,-150,34-57,47-70,317.1918315198821,346.0295146739403,7.623670199608171,4.904460357097719,0.0,
183,J4K5succ250_ampGrad,0x,3,4,-100,49-72,62-85,314.46108680757754,354.31643867071887,3.3566895593808117,5.8959793901542525,0.0,
184,J4K5succ250_ampGrad,0x,3,4,-50,64-87,77-100,317.0018685705683,350.4538344096157,4.440779889763803,9.360372509353283,0.0,
185,J4K5succ250_ampGrad,0x,3,4,0,79-102,92-115,310.01292255027215,349.25179170770247,7.8809938651045846,11.997472400804211,0.0,
186,J4K5succ250_ampGrad,0x,3,4,50,94-117,107-130,311.78726616603126,349.0275823378787,9.27261578919456,12.460178173037775,0.0,
187,J4K5succ250_ampGrad,0x,3,4,100,109-132,122-145,307.67441257037814,356.93394579822336,8.623538820604665,11.103558389541547,0.0,
188,J4K5succ250_ampGrad,0x,3,4,150,124-147,137-160,309.34177297808486,355.19511084238945,10.435073430765273,10.348963714334332,0.0,
189,J4K5succ250_ampGrad,0x,3,4,200,139-162,152-175,311.2613720796745,357.86833135016434,9.711760841161322,10.179801070734015,0.0,
190,J4K5succ250_ampGrad,0x,3,4,250,154-177,167-190,308.1951319443794,359.4904722097237,10.15041346534042,6.08234981014482,0.0,
191,J4K5succ250_ampGrad,0x,3,4,300,169-193,182-205,308.9380239184403,360.13055883281595,11.972879848722528,13.21221378068816,0.0,
192,J4K5succ250_ampGrad,0x,3,4,350,185-208,197-220,312.6282664679659,353.1261515035163,15.118937861577423,16.600889435581337,0.0,
193,J4K5succ250_ampGrad,0x,3,4,400,200-223,212-236,303.67577449014675,356.9008690818682,14.717186419792881,11.394352274164929,0.0,
194,J4K5succ250_ampGrad,0x,3,4,450,215-238,227-251,302.93251385561837,346.0303442197967,11.86845212635882,12.371233251085355,0.0,
195,J4K5succ250_ampGrad,0x,3,6,-150,34-57,47-70,319.93491876485166,349.6877889812416,10.366757444577788,8.562734664398988,0.0,
196,J4K5succ250_ampGrad,0x,3,6,-100,49-72,62-85,318.17279650642524,357.4070670802675,7.068399258228509,8.986607799702824,0.0,
197,J4K5succ250_ampGrad,0x,3,6,-50,64-87,77-100,322.58841882272634,357.9520555139825,10.027330141921881,16.858593613720075,0.0,
198,J4K5succ250_ampGrad,0x,3,6,0,79-102,92-115,315.1315076423395,358.51142021982866,12.999578957171993,21.25710091293041,0.0,
199,J4K5succ250_ampGrad,0x,3,6,50,94-117,107-130,318.9169218617195,359.18738072389107,16.402271484882814,22.619976559050144,0.0,
